Title,Phone number,Website,Address
Constructora Sure,,,"Agustín Paolucci, Córdoba"
Fit Constructora,0351 15-809-8390,http://fitconstructora.com.ar/,"Av. Rafael Núñez 4684, X5009CGN Córdoba"
Item Construcciones Sa,0351 480-4844,http://www.item.com.ar/,"Dr. Pedro Chutro 952, X5004 Córdoba"
CONSTANTINO V - CONSTRUCTORA OLMEDO E HIJOS,0351 310-6704,https://nexolmedo2.mitiendanube.com/,"Av. Uruguay 454, X5152 Villa Carlos Paz, Córdoba"
GreenLife Constructora SAS,03547 45-2579,https://greenlifeconstructora.com/,"Av. Colón 4701, X5000 Córdoba"
Smarts Homes Constructora,0351 676-7676,http://www.smartshomes.com.ar/,"Méjico 1539, X5000 Córdoba"
Alfa - Constructora,03548 59-5626,,"Bv La Ca ada 500, Villa Giardino, CORDOBA"
Grupo Crear Constructora,03543 64-1483,https://www.instagram.com/grupocrear.constructora?igsh=MWczaWwyNjFyeWk4Mw==,"Publica S/N, X5115 La Granja, Córdoba"
VC Inmobiliaria - Constructora & Consultora,03541 21-0971,https://inmobiliariavc.com.ar/,"Paseo Quatro, José Hernández 110 Local 2, X5152 Villa Carlos Paz, Córdoba"
Empresa Constructora Base SRL,0351 464-4462,https://www.empresaconstructorabase.com/,"De la Industria 797, X5000AYA Córdoba"
Del Puerto Constructora,0351 753-9279,,"Copina 1336 Oficina 4, X5014 EKB, Córdoba"
Bilt constructora,0351 331-7014,,"Tristán Malbrán 4246 oficina 2, X5009 Córdoba"
Meta Steel constructora desarrollista,0351 201-1707,,"Ituzaingó 270, X5006 Córdoba"
Montalvo Constructora,0351 549-4725,,X5006 Córdoba
Empresa Constructora Delta S.A.,,https://www.empresadelta.com.ar/,"Av. Duarte Quirós 1400 Local 225, X5000AMB X5000AMB, Córdoba"
Constructora Rizoma,0351 399-3236,,"José Manuel Saravia 354, X5012 Córdoba"
Constructora Thor SRL,0351 679-9888,,"Isabel la Católica 850, X5000 Córdoba"
Killa Desarrollos / Constructora Desarrollista,0351 15-212-8166,https://www.instagram.com/killadesarrollista.cba/,"Tucumán 690, X5000 Córdoba"
Britos Constructora,0351 480-1759,http://www.britossa.com.ar/,"Igualdad, X5000 Córdoba"
BZ Arq - CONSTRUCTORA,0351 657-1425,,"Soldado Ruiz 1655, X5000 Córdoba"
.,,,"Av. Juan Vucetich 6102, X5020 Córdoba"
Constructora del Lazio,0810-777-4329,,"Colectora 2712-3872, X5006KNB Córdoba"
Dyasa Empresa Constructora,0351 481-3372,,"Cerro de Las Rosas, Av. Fernando Fader 4244 Oficina 2 Piso 1, X5009 ABW, Córdoba"
Gauros Viviendas,0351 360-0347,https://gaurosviviendas.com.ar/,"De los Latinos 7120, Córdoba"
Marassa Construcciones,0351 15-391-6285,https://marassaconstrucciones.com.ar/,"Humberto Primo 630 - Capitalinas, X5000 Córdoba"
Opm Constructora,,,"Rancagua, X5000 Córdoba"
Desarrollista / Constructora del interior,,,"Obispo Trejo 650, X5000IYN Córdoba"
Sapyc S.R.L.,0351 494-0869,http://www.sapyc.com/,"Av. Circunvalación SO 450 (E/salida 12 y 13B) B°, Alejandro Carbó, X5016 AQR, Córdoba"
GRIF SA Constructora,,http://www.grif.com.ar/,"Obispo Trejo 648 2 A, X5000 Córdoba"
Pucheta Construcciones,0351 424-3347,https://puchetaconstrucciones.com.ar/,"Ibarbalz, Av. J. M. de Pueyrredón 979, X5004FAE Córdoba"
Gb Constructora SRL,0351 465-2131,,"Lagunilla 3476, X5011EKH Córdoba"
Ceballos construcciones,0351 528-9658,,"Astor Piazzolla, Córdoba"
ARMAG CONSTRUCTORA DESARROLLISTA,0351 552-6042,,"Av. Colón 1530, X5000 Córdoba"
LMR CONSTRUCTORA S.A,0351 428-6861,,"27 de Abril 351, X5000 AEG, Córdoba"
Ciar Sa Empresa Constructora,0351 423-2365,,"Av. Duarte Quirós 395, X5000 Córdoba"
Constructora El Rey SRL,0351 477-0347,,"Av. Monseñor Pablo Cabrera 2870 Loc. 2, X5008HHV Córdoba"
Cabial Empresa Constructora,0351 482-2855,,"Pelagio Belindo Luna 3130, X5000 Córdoba"
Castor Constructora,0351 480-2096,,"12 de Octubre 2335, X5003AUI Córdoba"
ZOE Constructora,0351 310-5447,,"Av. Maipú 55, X5000IBA Córdoba"
COROBRA Empresa Constructora,0351 328-0093,http://www.corobra.com/,"Fulgencio Montemayor 1338, X5013CKB Córdoba"
CasaClick Inmobiliaria y Constructora,03548 63-1363,https://casa-click.com.ar/,"Francisco Ramírez 172, X5176 Huerta Grande, Córdoba"
BASAA Constructora | BASAA S.A.,0351 480-0179,http://www.basaa.com.ar/,"Igualdad 4000, X5003BHT Córdoba"
Constructora Territorial SA,0351 424-3938,,"Jujuy 8, X5022FMB Córdoba"
Jmc & Asociados Constructora,03546 47-7202,https://www.facebook.com/Jmc-Asociados-Constructora-101840319075315/,"Blvd. San Juan 2000, X5000 Córdoba"
DI LUCA | Constructora - Movimientos De Suelo - Excavaciones -,0351 903-7342,,"Rufino Cuervo 1085, X5008 Córdoba"
fymac constructora,,https://fymac-construcciones.webnode.com/contacto/,"AV.URUGUAY, Av. San Martín ESQ, X5152 Villa Carlos Paz, Córdoba"
A Blanco Empresa Constructora SRL,0351 487-1618,,"De n C rdoba, Deán Funes 2306, X5003CVP Córdoba"
Embesa Constructora,0351 862-7077,http://www.embesa.ar/,"Juan José Paso 1797, X5000 Córdoba"
Constructora 0.cero_arquitectura,03498 44-0831,https://www.facebook.com/1375526979145957/posts/5266793173352632/,"Los Condores 342, X5152 Villa Carlos Paz, Córdoba"
Constructora Eblagon,,,Córdoba
Sestopal Empresa Constructora,,,"Unnamed Road, Córdoba"
Constructora Sur,,,"Octavio Pinto 2874, X5000 Córdoba"
