Title,segmento,email,Phone number,Website,Address,draft_asunto,draft_email,wa_mensaje,wa_link,estado,_origen
Molienda de Aridos Cosquín,SOLO_REDES,,03541 45-0271,https://www.facebook.com/Molienda-de-aridos-cosquin-541599833040731/,"Ruta Nacional 38 esq. 3 de Febrero, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Facebook de Molienda de Aridos Cosquín, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Cosquín. ¿Te muestro cómo quedaría la de Molienda de Aridos Cosquín? Sin compromiso.",https://wa.me/5493541450271,pendiente,constructora-cosquin-cordoba.csv
Nexus contrucciones,SIN_WEB,,,,"X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Nexus contrucciones en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Nexus contrucciones, sin compromiso. ¿Te sirve?",,pendiente,constructora-cosquin-cordoba.csv
Serv & Rep,SIN_WEB,,03541 59-0980,,"Av. San Martin 1358, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Serv & Rep en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Serv & Rep, sin compromiso. ¿Te sirve?",https://wa.me/5493541590980,pendiente,constructora-cosquin-cordoba.csv
Estudio de Arquitectura Mariel Alvarez Murias,SIN_WEB,,03541 61-5392,,"San Juan 451, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Estudio de Arquitectura Mariel Alvarez Murias en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Estudio de Arquitectura Mariel Alvarez Murias, sin compromiso. ¿Te sirve?",https://wa.me/5493541615392,pendiente,constructora-cosquin-cordoba.csv
Charata's place,SIN_WEB,,,,"Pan de Azucar, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Charata's place en Google pero no encontré una web propia. Hoy quien te busca en Cosquín elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Charata's place, sin compromiso. ¿Te sirve?",,pendiente,constructora-cosquin-cordoba.csv
Grupo Family,SIN_WEB,,03541 61-8639,,"Lavalle 2131, X5164 Santa María de Punilla, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Grupo Family en Google pero no encontré una web propia. Hoy quien te busca en Santa María de Punilla elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Grupo Family, sin compromiso. ¿Te sirve?",https://wa.me/5493541618639,pendiente,constructora-cosquin-cordoba.csv
Pampa construcciones,SIN_WEB,,03541 33-2149,,"Juan XXIII Nº12, X5158 Bialet Massé, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Pampa construcciones en Google pero no encontré una web propia. Hoy quien te busca en Bialet Massé elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Pampa construcciones, sin compromiso. ¿Te sirve?",https://wa.me/5493541332149,pendiente,constructora-cosquin-cordoba.csv
Ace soluciones edilicias,SOLO_REDES,,0351 211-5846,https://www.instagram.com/acesoluciones.23?igsh=cXduYWZ6bW5pd3k3,,,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Instagram de Ace soluciones edilicias, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en tu zona. ¿Te muestro cómo quedaría la de Ace soluciones edilicias? Sin compromiso.",https://wa.me/5493512115846,pendiente,constructora-cosquin-cordoba.csv
Nugal Inmobiliaria,SOLO_REDES,,03541 68-5277,https://www.instagram.com/nugal.inmobiliaria/,"Catamarca 782, X5166 Cosquín, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Instagram de Nugal Inmobiliaria, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Cosquín. ¿Te muestro cómo quedaría la de Nugal Inmobiliaria? Sin compromiso.",https://wa.me/5493541685277,pendiente,constructora-cosquin-cordoba.csv
John Construcciones,SIN_WEB,,011 2790-2762,,"Los Talas, Dique San Roque esquina, X5158 Bialet Massé, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a John Construcciones en Google pero no encontré una web propia. Hoy quien te busca en Bialet Massé elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de John Construcciones, sin compromiso. ¿Te sirve?",https://wa.me/5491127902762,pendiente,constructora-cosquin-cordoba.csv
Construcciones punilla,SOLO_REDES,,0341 590-5090,https://www.instagram.com/tecnocellros?igsh=N2dod2gzaGJjZjJh,"Punilla, Tanti, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Instagram de Construcciones punilla, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Tanti. ¿Te muestro cómo quedaría la de Construcciones punilla? Sin compromiso.",https://wa.me/5493415905090,pendiente,constructora-cosquin-cordoba.csv
JGR Construcciones,SIN_WEB,,011 3044-6623,,"Taninga 0, X5155 Tanti, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a JGR Construcciones en Google pero no encontré una web propia. Hoy quien te busca en Tanti elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de JGR Construcciones, sin compromiso. ¿Te sirve?",https://wa.me/5491130446623,pendiente,constructora-cosquin-cordoba.csv
Montecons Desarrollistas,WEB_PROPIA,ventas@montecons.com.ar,0351 676-1621,http://www.montecons.com.ar/,"Anacreonte 210, 5000 Córdoba",Una idea para la web de Montecons Desarrollistas,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Montecons Desarrollistas y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
URBICOR Construcciones,SIN_WEB,,0351 351-4732,,"Manuel López 2425, X5000 Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a URBICOR Construcciones en Google pero no encontré una web propia. Hoy quien te busca en Córdoba elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de URBICOR Construcciones, sin compromiso. ¿Te sirve?",https://wa.me/5493513514732,pendiente,constructora-cosquin-cordoba.csv
TLC Pavimento y Hormigón,WEB_PROPIA,tlcpavimentoyhormigon@gmail.com,0351 573-0001,http://tlc-constructora.com.ar/,"Balcarce 78 Local 4, X5105 Villa Allende, Córdoba",Una idea para la web de TLC Pavimento y Hormigón,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de TLC Pavimento y Hormigón y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Constructora MarcSuar | Steel Framing | Construcción en Seco,SIN_WEB,,03541 63-1930,,"Antonio, Vivaldi 827, X5152 Villa Carlos Paz, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Constructora MarcSuar en Google pero no encontré una web propia. Hoy quien te busca en Villa Carlos Paz elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Constructora MarcSuar, sin compromiso. ¿Te sirve?",https://wa.me/5493541631930,pendiente,constructora-cosquin-cordoba.csv
Vecta Constructora,WEB_PROPIA,info@vectaconstructora.com,0351 591-5640,https://vectaconstructora.com/,"GAMA S.A., Av. Colón 5050 1 piso Oficina 7, X5000 Córdoba",Una idea para la web de Vecta Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Vecta Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Grupo Mac Constructora,WEB_PROPIA,info@grupomacconstructora.com,0351 378-6618,https://www.grupomacconstructora.com/,"Menéndez Pidal 3531 Piso:1 Dpto:C, Menéndez Pidal 3531 Oficina 2º A, X5000 Córdoba",Una idea para la web de Grupo Mac Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Grupo Mac Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Grupo Kreos Constructora,WEB_PROPIA,grupokreosconstructora@gmail.com,0351 328-3253,http://www.kreosconstructora.com.ar/,"Adrian Edgardo Douglas 6464, 5000 Córdoba",Una idea para la web de Grupo Kreos Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Grupo Kreos Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
RBL CONSTRUCTORA S.A.S,SIN_WEB,,03543 69-4904,,"Av Sarmiento N° 1850 RUTA E - 53 Entre San Juan, San Luis y, X5113 Salsipuedes, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a RBL CONSTRUCTORA S.A.S en Google pero no encontré una web propia. Hoy quien te busca en RUTA E - 53 Entre San Juan elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de RBL CONSTRUCTORA S.A.S, sin compromiso. ¿Te sirve?",https://wa.me/5493543694904,pendiente,constructora-cosquin-cordoba.csv
Tecons S.A. I Empresa Constructora,WEB_PROPIA,,0351 583-3265,http://www.tecons.com.ar/,"Los Talas, Los Jacintos esquina, La Calera, Córdoba",Una idea para la web de Tecons S.A. I Empresa Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Tecons S.A. I Empresa Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Inovarte Construcciones.,WEB_PROPIA,,0351 632-7905,https://inovarteconstrucciones.com.ar/,"Ituzaingó 270, X5000 Córdoba",Una idea para la web de Inovarte Construcciones.,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Inovarte Construcciones. y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Abregu Constructora,WEB_PROPIA,ventas@abreguconstructora.com.ar,03541 51-4811,http://abreguconstructora.com.ar/,"Av. Cárcano 192 Av. Cárcano, Av. Estrada esq, X5152 Villa Carlos Paz, Córdoba",Una idea para la web de Abregu Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Abregu Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
CCA CONSTRUCCIONES SAN PATRICIO,SIN_WEB,,03543 69-4525,,"9 de Julio 769, X5113 Salsipuedes, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a CCA CONSTRUCCIONES SAN PATRICIO en Google pero no encontré una web propia. Hoy quien te busca en Salsipuedes elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de CCA CONSTRUCCIONES SAN PATRICIO, sin compromiso. ¿Te sirve?",https://wa.me/5493543694525,pendiente,constructora-cosquin-cordoba.csv
FM Constructora,WEB_PROPIA,,03541 64-9802,https://fmconstructora.com.ar/,,Una idea para la web de FM Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de FM Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Aclade S.R.L. – Empresa Constructora,WEB_PROPIA,aclade@acladesrl.com.ar,0351 498-6168,http://www.acladesrl.com.ar/,"Colectora Ruta 20 km 18 1/2, Barrio La Perla, Malagueño, Córdoba",Una idea para la web de Aclade S.R.L. – Empresa Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Aclade S.R.L. – Empresa Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Quattro Pilares SRL,WEB_PROPIA,,0351 683-2860,http://www.quattropilares.com/,"Pje. Costa Rica 1135, X5152 Villa Carlos Paz, Córdoba",Una idea para la web de Quattro Pilares SRL,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Quattro Pilares SRL y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Empresa Constructora en Córdoba,WEB_PROPIA,empresadeconstruccioncordoba@gmail.com,0351 15-759-4473,https://empresaconstructoracordoba.com/,"Wenceslao Paunero 2555 Oficina 1, X5000 Córdoba",Una idea para la web de Empresa Constructora en Córdoba,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Empresa Constructora en Córdoba y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
RODE | Empresa Constructora y Desarrollos inmobiliarios,WEB_PROPIA,ventas@rode.com.ar,0351 589-7633,https://rode.com.ar/,"Av. La Voz del Interior 8821, X5008 Córdoba",Una idea para la web de RODE,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de RODE y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Cerco Blanco Constructora,WEB_PROPIA,,0351 865-1642,https://www.cercoblancoconstructora.com.ar/,"Francisco Pasquini 1000 (Variante Colectora Juárez Celman, X5019 Córdoba",Una idea para la web de Cerco Blanco Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Cerco Blanco Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Constructora Carranza,SOLO_REDES,,0351 698-7307,https://linktr.ee/constructoracarranza,"Eugenio Pizzolatto 6750, X5147 Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tus redes de Constructora Carranza, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Córdoba. ¿Te muestro cómo quedaría la de Constructora Carranza? Sin compromiso.",https://wa.me/5493516987307,pendiente,constructora-cosquin-cordoba.csv
Casco Blanco Constructora,SIN_WEB,,0351 300-6426,,Córdoba,,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Casco Blanco Constructora en Google pero no encontré una web propia. Hoy quien te busca en Córdoba elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Casco Blanco Constructora, sin compromiso. ¿Te sirve?",https://wa.me/5493513006426,pendiente,constructora-cosquin-cordoba.csv
Eleven - Constructora Desarrollista,WEB_PROPIA,info@elevendesarrollos.com.ar,0351 209-8374,https://www.elevendesarrollos.com.ar/,"Jacobo Joule 5353 OF: 210/211, X5000 Córdoba",Una idea para la web de Eleven,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Eleven y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Casa Vida Constructora,WEB_PROPIA,,0351 528-4515,http://www.casavida.com.ar/,"9 de Julio 151, X5000 Córdoba",Una idea para la web de Casa Vida Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Casa Vida Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
Daniel Quevedo Construcciones,SOLO_REDES,,03541 55-5418,http://www.facebook.com/danielbernardo.quevedo,"George, Sand 43, X5152 Villa Carlos Paz, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Facebook de Daniel Quevedo Construcciones, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Villa Carlos Paz. ¿Te muestro cómo quedaría la de Daniel Quevedo Construcciones? Sin compromiso.",https://wa.me/5493541555418,pendiente,constructora-cosquin-cordoba.csv
Construcciones Argentina,SIN_WEB,,0351 589-0366,,"Av. Italia esquina Ruta 20 km 18, La Perla, X5101 Malagueño, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi a Construcciones Argentina en Google pero no encontré una web propia. Hoy quien te busca en Malagueño elige a las que aparecen primero con web y obras. Te puedo mostrar en 2 minutos una idea de cómo se vería la de Construcciones Argentina, sin compromiso. ¿Te sirve?",https://wa.me/5493515890366,pendiente,constructora-cosquin-cordoba.csv
Oscar H Martinez Construcciones,SOLO_REDES,,03541 42-4061,https://www.facebook.com/Oscar-H-Martinez-Construcciones-121147564598376/,"Belgrano 163, X5152 Villa Carlos Paz, Córdoba",,,"Hola! Soy Jano Maciel | Clyra Studio de Clyra Studio 👋 Vi tu Facebook de Oscar H Martinez Construcciones, se ve el laburo. El tema es que una red social no aparece en Google ni es 100% tuya — una web propia sí, y convierte mejor a quien te busca en Villa Carlos Paz. ¿Te muestro cómo quedaría la de Oscar H Martinez Construcciones? Sin compromiso.",https://wa.me/5493541424061,pendiente,constructora-cosquin-cordoba.csv
Lucas Sanchez Constructora - Propiedades en Venta,WEB_PROPIA,,03541 52-6608,https://lucassanchezconstructora.com.ar/,"Av. los Olmos 232, X5152 Villa Santa Cruz del Lago, Córdoba",Una idea para la web de Lucas Sanchez Constructora,"Hola, ¿cómo estás? Soy Jano Maciel | Clyra Studio, de Clyra Studio.

Entré a la web de Lucas Sanchez Constructora y se nota que ya invirtieron en presencia. Tengo un par de ideas concretas para que rinda más en consultas (velocidad, claridad de la oferta y captación de leads).

¿Te interesa que te las pase en un mensaje corto, sin compromiso?

Saludos,
Jano Maciel | Clyra Studio
Clyra Studio — Desarrollo web
janomaciel1@gmail.com",,,pendiente,constructora-cosquin-cordoba.csv
